SYMBOL	ENSEMBL
ITGAV	ENSG00000138448
ITGB1	ENSG00000150093
ITGB3	ENSG00000259207
ITGB5	ENSG00000082781
JUN	ENSG00000177606
LAMA1	ENSG00000101680
LAMA2	ENSG00000196569
LAMA3	ENSG00000053747
LAMC1	ENSG00000135862
LAMC2	ENSG00000058085
LGALS1	ENSG00000100097
LOX	ENSG00000113083
LOXL1	ENSG00000129038
LOXL2	ENSG00000134013
LRP1	ENSG00000123384
LRRC15	ENSG00000172061
LUM	ENSG00000139329
MAGEE1	ENSG00000198934
MATN2	ENSG00000132561
MATN3	ENSG00000132031
MCM7	ENSG00000166508
MEST	ENSG00000106484
MFAP5	ENSG00000197614
MGP	ENSG00000111341
MMP1	ENSG00000196611
MMP14	ENSG00000157227
MMP2	ENSG00000087245
MMP3	ENSG00000149968
MSX1	ENSG00000163132
MXRA5	ENSG00000101825
MYL9	ENSG00000101335
MYLK	ENSG00000065534
NID2	ENSG00000087303
NNMT	ENSG00000166741
NOTCH2	ENSG00000134250
NT5E	ENSG00000135318
NTM	ENSG00000182667
OXTR	ENSG00000180914
P3H1	ENSG00000117385
PCOLCE	ENSG00000106333
PCOLCE2	ENSG00000163710
PDGFRB	ENSG00000113721
PDLIM4	ENSG00000131435
PFN2	ENSG00000070087
PLAUR	ENSG00000011422
PLOD1	ENSG00000083444
PLOD2	ENSG00000152952
PLOD3	ENSG00000106397
PMEPA1	ENSG00000124225
PMP22	ENSG00000109099
POSTN	ENSG00000133110
PPIB	ENSG00000166794
PRRX1	ENSG00000116132
PRSS2	ENSG00000275896
PTHLH	ENSG00000087494
PTX3	ENSG00000163661
PVR	ENSG00000073008
QSOX1	ENSG00000116260
RGS4	ENSG00000117152
RHOB	ENSG00000143878
SAT1	ENSG00000130066
SCG2	ENSG00000171951
SDC1	ENSG00000115884
SDC4	ENSG00000124145
SERPINE1	ENSG00000106366
SERPINE2	ENSG00000135919
SERPINH1	ENSG00000149257
SFRP1	ENSG00000104332
SFRP4	ENSG00000106483
SGCB	ENSG00000163069
SGCD	ENSG00000170624
SGCG	ENSG00000102683
SLC6A8	ENSG00000130821
SLIT2	ENSG00000145147
SLIT3	ENSG00000184347
SNAI2	ENSG00000019549
SNTB1	ENSG00000172164
SPARC	ENSG00000113140
SPOCK1	ENSG00000152377
SPP1	ENSG00000118785
TAGLN	ENSG00000149591
TFPI2	ENSG00000105825
TGFB1	ENSG00000105329
TGFBI	ENSG00000120708
TGFBR3	ENSG00000069702
TGM2	ENSG00000198959
THBS1	ENSG00000137801
THBS2	ENSG00000186340
THY1	ENSG00000154096
TIMP1	ENSG00000102265
TIMP3	ENSG00000100234
TNC	ENSG00000041982
TNFAIP3	ENSG00000118503
TNFRSF11B	ENSG00000164761
TNFRSF12A	ENSG00000006327
TPM1	ENSG00000140416
TPM2	ENSG00000198467
TPM4	ENSG00000167460
VCAM1	ENSG00000162692
VCAN	ENSG00000038427
VEGFA	ENSG00000112715
VEGFC	ENSG00000150630
VIM	ENSG00000026025
WIPF1	ENSG00000115935
WNT5A	ENSG00000114251
